IP,11
WF,24
JN,49
LQ,58
TL,1777
TK,3318
RN,4227
MB,8216
SC,9446
CV,16204
KT,23013
CR,20
AQ,25152
GP,25168
BP,45262
RM,45294
EK,48858
AY,67120
MN,67388
NH,72704
MJ,85929
MP,89895
BT,126619
BN,166798
TX,166916
GV,176648
ER,182531
TI,186053
SI,203581
BC,207336
DR,210258
IC,213600
LU,229566
EU,6
BQ,7
BL,250673
AO,279814
SL,285012
MI,291100
AG,376980
TE,15
MQ,19
CM,378738
ZA,426521
PM,512713
RW,532738
WQ,1772
EZ,616006
HK,690599
OD,694056
RQ,711753
AJ,754595
ET,810284
CB,820291
KQ,10
HQ,2563
FK,2702
TW,1011803
BV,29
FQ,34
HU,1163114
UG,1179855
JQ,69
DQ,164
SU,1235459
SN,1475921
SB,341
ZI,1718737
NF,4029
PC,4206
IO,1094
MF,1147
SZ,2047122
NZ,2098305
SM,5816
FO,6620
NT,695
YM,2389035
CU,2668028
IT,4501442
MH,7607
FG,7978
CQ,4668
FR,11259571
SV,12506
NC,13976
CA,12975389
IS,13165418
PG,11210
SH,1994
PS,15283
NE,3638
LS,12062
NS,19750
AN,6856
CW,24004
AV,16635
FP,17595
FM,25259
IM,6915
TV,20976
PF,21193
CN,9413
TP,9623
YI,10460
OC,39778
GK,42095
AA,28145
RE,50802
MC,57316
PU,20753
ST,31105
KR,34617
VC,27737
GJ,62886
TN,42270
WI,35874
GB,74705
MR,77824
VI,36189
VQ,48907
SE,83601
DO,44096
GL,59561
WS,86889
LT,88737
TO,61412
LO,143224
CG,143232
GI,72843
TT,63064
CJ,64486
BK,157341
AC,73052
WZ,67279
BD,104097
PA,123647
KV,158958
CS,163551
MA,90845
UY,146348
LG,186634
MG,167203
GG,173594
BB,136253
NR,214401
MV,218862
VT,203023
WA,251662
NU,140690
HO,242397
GY,255387
TD,287035
SG,289572
MD,173871
UZ,298753
UV,263190
BH,190313
CT,307345
LA,311852
PP,273268
OS,277432
GA,477037
BY,489817
IV,218878
MU,326526
BO,521340
BU,524610
KG,229611
GZ,232838
AL,326636
CF,369822
RB,399309
NG,407852
DJ,239097
KU,578189
HA,632157
CI,633198
BF,420314
GQ,242607
MZ,243242
DA,776226
RO,806563
MT,428249
LI,447978
TS,830919
NO,941226
LH,252098
EN,252939
HR,450125
CO,1072638
BM,1075600
FI,450812
KZ,456514
ES,267086
CE,1184048
VE,1222831
JE,456571
FJ,312195
WE,1322165
QA,1379362
TZ,543347
BX,554460
SO,1761436
LE,1771318
GT,395901
EI,3371093
ML,584312
JM,596993
CD,449745
KS,3773596
BA,680111
SF,4484097
MK,470287
AR,733059
EG,4535671
MX,4947917
EC,496025
PE,744174
JA,5661401
RI,500250
AF,6296578
AM,996638
NI,8718005
IR,9130869
AU,1292785
CY,527365
SY,14154421
NP,1296668
PO,583822
CH,15030068
JO,1514126
UK,26677587
MO,613401
NL,1722483
AE,1598502
SW,1645699
BR,1778913
LY,1918256
GH,1951089
PL,1881558
VM,2379213
TH,2206067
UP,2325470
MY,3043933
KE,2677501
BE,2893340
SA,5124937
BG,3054664
RP,6417756
IZ,7506040
GM,7936548
ID,3181150
SP,3186739
PK,8403468
GR,3956222
KN,4329634
TU,9608245
IN,16661290
RS,17281307
AS,22991039
US,238759712
