551695808	20150619	201506	2015	2015.4630	BRA	BRAZIL	BRA								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	16	4	16	-7.02711194900799	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20160618230000	http://blogs.abcnews.com/US/wireStory/sect-leader-extradited-minnesota-face-charges-39963353
551695809	20150619	201506	2015	2015.4630	BUS	INVESTOR						BUS			USA	UNITED STATES	USA								0	100	100	10	3	-5.0	2	1	2	-2.3598820058997	3	World Trade Center, Massachusetts, United States	US	USMA	MA025	42.3518	-71.0403	1971878	3	World Trade Center, Massachusetts, United States	US	USMA		42.3518	-71.0403	1971878	3	World Trade Center, Massachusetts, United States	US	USMA		42.3518	-71.0403	1971878	20160618230000	http://louisianarecord.com/stories/510899055-defendents-in-wtc-litigation-praise-new-legislation-while-plaintiff-questions-its-constitutionality
551695810	20150619	201506	2015	2015.4630	BUS	INVESTOR						BUS			USA	UNITED STATES	USA								0	100	100	10	3	-5.0	2	1	2	-2.3598820058997	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	3	World Trade Center, Massachusetts, United States	US	USMA		42.3518	-71.0403	1971878	3	World Trade Center, Massachusetts, United States	US	USMA		42.3518	-71.0403	1971878	20160618230000	http://louisianarecord.com/stories/510899055-defendents-in-wtc-litigation-praise-new-legislation-while-plaintiff-questions-its-constitutionality
551695811	20160519	201605	2016	2016.3808											BGD	DHAKA	BGD								1	046	046	04	1	7.0	7	1	7	-0.99009900990099	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20160618230000	http://www.arabnews.com/node/941561/columns
551695812	20160519	201605	2016	2016.3808											FJI	FIJI	FJI								1	042	042	04	1	1.9	10	1	10	5.74162679425837	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20160618230000	http://www.fijitimes.com/story.aspx?id=358746
551695813	20160519	201605	2016	2016.3808	BGD	DHAKA	BGD																		1	046	046	04	1	7.0	5	1	5	-0.99009900990099	1	Canada	CA	CA		60	-95	CA	0								1	Canada	CA	CA		60	-95	CA	20160618230000	http://www.arabnews.com/node/941561/columns
551695814	20160519	201605	2016	2016.3808	BGD	BANGLADESHI	BGD																		1	046	046	04	1	7.0	2	1	2	-0.99009900990099	1	Haiti	HA	HA		19	-72.4167	HA	0								1	Canada	CA	CA		60	-95	CA	20160618230000	http://www.arabnews.com/node/941561/columns
551695815	20160519	201605	2016	2016.3808	COM	COMOROS	COM								DJI	DJIBOUTI	DJI								1	057	057	05	1	8.0	6	1	6	2.26337448559671	1	Comoros	CN	CN		-12.1667	44.25	CN	1	Djibouti	DJ	DJ		11.5	43	DJ	1	Djibouti	DJ	DJ		11.5	43	DJ	20160618230000	http://saudigazette.com.sa/business/itfc-fosters-use-shariah-compliant-banking-trade/
551695816	20160519	201605	2016	2016.3808	COM	COMOROS	COM								DJI	DJIBOUTI	DJI								1	057	057	05	1	8.0	4	1	4	2.26337448559671	1	Djibouti	DJ	DJ		11.5	43	DJ	1	Djibouti	DJ	DJ		11.5	43	DJ	1	Djibouti	DJ	DJ		11.5	43	DJ	20160618230000	http://saudigazette.com.sa/business/itfc-fosters-use-shariah-compliant-banking-trade/
551695817	20160519	201605	2016	2016.3808	COM	COMOROS	COM								MLI	MALI	MLI								1	057	057	05	1	8.0	6	1	6	2.26337448559671	1	Comoros	CN	CN		-12.1667	44.25	CN	1	Mali	ML	ML		17	-4	ML	1	Djibouti	DJ	DJ		11.5	43	DJ	20160618230000	http://saudigazette.com.sa/business/itfc-fosters-use-shariah-compliant-banking-trade/
